Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
24,Sun,2027-02-14,,Napoli,,Juventus,,Stadio Diego Armando Maradona,,Head-to-Head,
24,Sun,2027-02-14,,Frosinone,,Fiorentina,,Stadio Benito Stirpe,,Head-to-Head,
24,Sun,2027-02-14,,Genoa,,Atalanta,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
24,Sun,2027-02-14,,Monza,,Lecce,,U-Power Stadium,,Head-to-Head,
24,Sun,2027-02-14,,Cagliari,,Lazio,,Unipol Domus,,Head-to-Head,
24,Sun,2027-02-14,,Udinese,,Venezia,,Bluenergy Stadium,,Head-to-Head,
24,Sun,2027-02-14,,Bologna,,Como,,Stadio Renato Dall'Ara,,Head-to-Head,
24,Sun,2027-02-14,,Inter,,Milan,,Stadio Giuseppe Meazza,,Head-to-Head,
24,Sun,2027-02-14,,Torino,,Sassuolo,,Stadio Olimpico Grande Torino,,Head-to-Head,
24,Sun,2027-02-14,,Roma,,Parma,,Stadio Olimpico,,Head-to-Head,
,,,,,,,,,,,
25,Sun,2027-02-21,,Como,,Torino,,Stadio Giuseppe Sinigaglia,,Head-to-Head,
25,Sun,2027-02-21,,Udinese,,Parma,,Bluenergy Stadium,,Head-to-Head,
25,Sun,2027-02-21,,Fiorentina,,Inter,,Stadio Artemio Franchi,,Head-to-Head,
25,Sun,2027-02-21,,Lazio,,Napoli,,Stadio Olimpico,,Head-to-Head,
25,Sun,2027-02-21,,Milan,,Genoa,,Stadio Giuseppe Meazza,,Head-to-Head,
25,Sun,2027-02-21,,Atalanta,,Monza,,New Balance Arena,,Head-to-Head,
25,Sun,2027-02-21,,Juventus,,Bologna,,Allianz Stadium,,Head-to-Head,
25,Sun,2027-02-21,,Lecce,,Frosinone,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
25,Sun,2027-02-21,,Venezia,,Cagliari,,Stadio Pier Luigi Penzo,,Head-to-Head,
25,Sun,2027-02-21,,Sassuolo,,Roma,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
,,,,,,,,,,,
26,Sun,2027-02-28,,Bologna,,Lecce,,Stadio Renato Dall'Ara,,Head-to-Head,
26,Sun,2027-02-28,,Torino,,Fiorentina,,Stadio Olimpico Grande Torino,,Head-to-Head,
26,Sun,2027-02-28,,Cagliari,,Udinese,,Unipol Domus,,Head-to-Head,
26,Sun,2027-02-28,,Inter,,Atalanta,,Stadio Giuseppe Meazza,,Head-to-Head,
26,Sun,2027-02-28,,Como,,Milan,,Stadio Giuseppe Sinigaglia,,Head-to-Head,
26,Sun,2027-02-28,,Frosinone,,Napoli,,Stadio Benito Stirpe,,Head-to-Head,
26,Sun,2027-02-28,,Parma,,Sassuolo,,Stadio Ennio Tardini,,Head-to-Head,
26,Sun,2027-02-28,,Roma,,Venezia,,Stadio Olimpico,,Head-to-Head,
26,Sun,2027-02-28,,Genoa,,Lazio,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
26,Sun,2027-02-28,,Monza,,Juventus,,U-Power Stadium,,Head-to-Head,
,,,,,,,,,,,
27,Sun,2027-03-07,,Lecce,,Como,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
27,Sun,2027-03-07,,Fiorentina,,Venezia,,Stadio Artemio Franchi,,Head-to-Head,
27,Sun,2027-03-07,,Lazio,,Frosinone,,Stadio Olimpico,,Head-to-Head,
27,Sun,2027-03-07,,Napoli,,Parma,,Stadio Diego Armando Maradona,,Head-to-Head,
27,Sun,2027-03-07,,Udinese,,Inter,,Bluenergy Stadium,,Head-to-Head,
27,Sun,2027-03-07,,Juventus,,Roma,,Allianz Stadium,,Head-to-Head,
27,Sun,2027-03-07,,Sassuolo,,Bologna,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
27,Sun,2027-03-07,,Milan,,Cagliari,,Stadio Giuseppe Meazza,,Head-to-Head,
27,Sun,2027-03-07,,Atalanta,,Torino,,New Balance Arena,,Head-to-Head,
